CO_MUNICIPIO_6,BF_QTD_FAMILIAS_MEDIA_MENSAL,BF_VALOR_ANUAL_TOTAL,BF_VALOR_MEDIO_POR_FAMILIA_ANUAL
110001,1281.25,1152208.0,899.2842926829268
110002,3764.6666666666665,3553759.0,943.9770674694529
110003,180.33333333333334,171043.0,948.4824399260629
110004,2982.5,3645274.0,1222.2209555741827
110005,619.0,491264.0,793.6413570274636
110006,333.75,338688.0,1014.7955056179775
110007,334.8333333333333,264763.0,790.730711796914
110008,1403.0,1488737.0,1061.1097647897363
110009,1357.6666666666667,1532726.0,1128.94132089369
110010,2957.6666666666665,3692845.0,1248.567001014313
110011,1787.8333333333333,1226072.0,685.7865199962711
110012,2161.0833333333335,1897903.0,878.2183318551652
110013,1475.1666666666667,969269.0,657.0572816630889
110014,1337.5833333333333,1073781.0,802.7768986355991
110015,1173.3333333333333,1218401.0,1038.4099431818183
110018,729.8333333333334,812889.0,1113.8008677780315
110020,21618.333333333332,20317006.0,939.8044560943644
110025,1615.3333333333333,1746082.0,1080.942220387949
110026,171.5,219344.0,1278.9737609329445
110028,1264.5,1042251.0,824.2396204033215
110029,396.6666666666667,362037.0,912.698319327731
110030,2327.4166666666665,2279210.0,979.2874789645173
110032,718.8333333333334,540150.0,751.4259216322745
110033,1161.9166666666667,1018610.0,876.6635587750125
110034,1037.6666666666667,714347.0,688.4166398972052
110037,677.3333333333334,669153.0,987.9227362204724
110040,975.6666666666666,801133.0,821.1134267167749
110045,1606.0,1355220.0,843.8480697384807
110050,529.75,336309.0,634.8447380840018
110060,210.83333333333334,155901.0,739.4513833992095
110070,445.0,368489.0,828.0651685393259
110080,2153.8333333333335,2100802.0,975.3781629652557
110090,187.75,206984.0,1102.444740346205
110092,399.1666666666667,600933.0,1505.4688935281836
110094,913.75,669538.0,732.7365253077976
110100,680.8333333333334,496989.0,729.9716034271726
110110,524.75,490894.0,935.4816579323488
110120,439.9166666666667,418109.0,950.4277325250994
110130,615.0833333333334,524185.0,852.2178566589893
110140,557.3333333333334,550285.0,987.3534688995214
110143,294.4166666666667,208962.0,709.7492216246816
110145,237.5,198147.0,834.3031578947368
110146,156.66666666666666,217049.0,1385.4191489361704
110147,168.16666666666666,190864.0,1134.9692765113975
110148,137.66666666666666,110369.0,801.7118644067797
110149,858.5,653037.0,760.6721025043681
110150,728.1666666666666,543317.0,746.143739986267
110155,227.0,254350.0,1120.4845814977973
110160,426.25,352200.0,826.2756598240469
110170,697.9166666666666,659584.0,945.0755820895523
110175,550.3333333333334,527002.0,957.6050878255602
110180,508.8333333333333,656212.0,1289.6403537504095
120001,1487.4166666666667,1794468.0,1206.4326292789513
120005,1174.25,3681780.0,3135.4311262507986
120010,2742.25,4078198.0,1487.172212599143
120013,1104.75,1872127.0,1694.6159764652637
120017,1140.0,1663584.0,1459.2842105263157
120020,8538.5,27274282.0,3194.2708906716634
120025,1613.0833333333333,2195710.0,1361.1882006509275
120030,4036.5833333333335,11339535.0,2809.191354074196
120032,1133.5,4714741.0,4159.453903837671
120033,2677.1666666666665,9669443.0,3611.8195853825564
120034,1437.25,5156589.0,3587.816315881023
120035,2301.25,7375647.0,3205.0611624117328
120038,1369.6666666666667,1460062.0,1065.998053054271
120039,1236.25,4361724.0,3528.1892821031347
120040,21688.25,36829760.0,1698.143464779316
120042,2131.3333333333335,6226904.0,2921.6002502345946
120043,957.5,4055399.0,4235.40365535248
120045,3331.75,6542762.0,1963.7613866586628
120050,5658.833333333333,16297065.0,2879.9337319235415
120060,5997.333333333333,21830917.0,3640.103990662517
120070,1720.0,2277171.0,1323.9366279069768
120080,2184.4166666666665,3705939.0,1696.5348491206655
130002,1940.25,4388819.0,2261.9863419662415
130006,1333.0833333333333,2051137.0,1538.6412452334814
130008,1629.3333333333333,5474240.0,3359.8036006546645
130010,2389.75,5550277.0,2322.5345747463125
130014,1528.1666666666667,2395070.0,1567.2832369942196
130020,1796.0833333333333,6474870.0,3604.99420034334
130030,6208.833333333333,15955707.0,2569.839798137063
130040,2431.5,3355229.0,1379.9008842278429
130050,4435.833333333333,13597926.0,3065.4727033627655
130060,4520.083333333333,13254911.0,2932.4483693147254
130063,3916.8333333333335,10986492.0,2804.942427981788
130068,1986.1666666666667,5492178.0,2765.2150709071075
130070,4119.333333333333,6997592.0,1698.7195339051627
130080,4452.083333333333,12447720.0,2795.9314927468417
130083,1632.3333333333333,2792425.0,1710.6953236675517
130090,2083.8333333333335,6718965.0,3224.329360953371
130100,4883.583333333333,14542589.0,2977.8521236114193
130110,4556.416666666667,5842959.0,1282.3583590906596
130115,3262.1666666666665,8994732.0,2757.287692229091
130120,8287.333333333334,14593538.0,1760.9449762690049
130130,2822.9166666666665,5244453.0,1857.8136088560886
130140,4372.583333333333,13517546.0,3091.432448400069
130150,2368.5,9140933.0,3859.3763985644923
130160,2874.5833333333335,5766521.0,2006.0371648064936
130165,2117.5,8041313.0,3797.5504132231404
130170,5760.083333333333,11533881.0,2002.380926201878
130180,3123.0833333333335,8627775.0,2762.582383862102
130185,9291.25,10540254.0,1134.4279833176377
130190,8941.916666666666,17018566.0,1903.2346905491927
130195,1325.5833333333333,4036873.0,3045.3558810586537
130200,1324.1666666666667,2370765.0,1790.3826305852735
130210,834.5,2670724.0,3200.388256440983
130220,1319.5,4208978.0,3189.82796513831
130230,2755.0833333333335,9390335.0,3408.3669580472456
130240,6731.5,21189792.0,3147.855901359281
130250,14257.0,26132537.0,1832.9618433050432
130255,2597.0,5069894.0,1952.211782826338
130260,109840.83333333333,100940196.0,918.9678641063964
130270,5001.333333333333,7127975.0,1425.2149426819515
130280,2361.3333333333335,9790999.0,4146.385798983625
130290,7580.5,20190526.0,2663.4820922102763
130300,2914.8333333333335,8544313.0,2931.321287666533
130310,3604.3333333333335,8480168.0,2352.770184037732
130320,1820.5,3062888.0,1682.443284811865
130330,2639.9166666666665,6476556.0,2453.318349695382
130340,12862.416666666666,21452336.0,1667.830902694543
130350,2515.5,7869751.0,3128.503677201352
130353,2964.5,4353013.0,1468.3801652892562
130356,2600.75,2995887.0,1151.931942708834
130360,1887.6666666666667,4789985.0,2537.516334098534
130370,3431.8333333333335,9269157.0,2700.934485940459
130380,4996.833333333333,16199201.0,3241.893399152797
130390,3583.25,10376491.0,2895.83227516919
130395,1246.9166666666667,2318253.0,1859.1883980485195
130400,1604.3333333333333,4100317.0,2555.7762310409307
130406,5793.166666666667,6974539.0,1203.925141689922
130410,2190.5833333333335,2882377.0,1315.8034009206071
130420,6898.666666666667,16149132.0,2340.906262079629
130423,2619.0833333333335,6319323.0,2412.7995163702312
130426,1911.0833333333333,6718887.0,3515.7477870317884
130430,2348.5,5064638.0,2156.541622312114
130440,2861.5,9113929.0,3185.0179975537308
140002,1303.75,3323055.0,2548.843720038351
140005,1940.75,3170448.0,1633.6199922710293
140010,19120.916666666668,22029925.0,1152.1374934081787
140015,1977.3333333333333,5145090.0,2602.0347269049225
140017,2065.0,5197364.0,2516.8832929782084
140020,2549.6666666666665,5671851.0,2224.5460844554846
140023,1102.0,1853644.0,1682.0725952813068
140028,1130.0,1843710.0,1631.6017699115043
140030,2728.0833333333335,4285579.0,1570.9120566942602
140040,1719.4166666666667,6339893.0,3687.234818009984
140045,1290.25,2951236.0,2287.336562681651
140047,3183.6666666666665,5756896.0,1808.2596586744844
140050,775.4166666666666,1092659.0,1409.1249865663622
140060,906.5,1479502.0,1632.103695532267
140070,1289.25,6447796.0,5001.19914679077
150010,27661.916666666668,45179078.0,1633.2591318389
150013,930.0,1637632.0,1760.894623655914
150020,8959.166666666666,11999969.0,1339.4068272718819
150030,5501.5,10346594.0,1880.6859947287103
150034,2417.1666666666665,3308725.0,1368.844377025443
150040,9206.083333333334,9005671.0,978.230445448209
150050,4467.416666666667,15000726.0,3357.807681546009
150060,9551.333333333334,13310531.0,1393.5783136734835
150070,4161.166666666667,12640254.0,3037.6706853046016
150080,28472.666666666668,20717213.0,727.617586457187
150085,4453.666666666667,9351259.0,2099.676446373774
150090,6543.75,11731497.0,1792.7789111747852
150095,3414.8333333333335,4882478.0,1429.7851530089315
150100,1738.1666666666667,3915115.0,2252.43935180746
150110,2964.3333333333335,8844485.0,2983.6337568874396
150120,5195.333333333333,9871644.0,1900.0982933401772
150125,333.4166666666667,461676.0,1384.6818295426142
150130,10847.333333333334,14115601.0,1301.2968778808922
