"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2020"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"570242"
"MU";"1100023";"Ariquemes (RO)";"2817331"
"MU";"1100031";"Cabixi (RO)";"167153"
"MU";"1100049";"Cacoal (RO)";"2518845"
"MU";"1100056";"Cerejeiras (RO)";"600630"
"MU";"1100064";"Colorado do Oeste (RO)";"366922"
"MU";"1100072";"Corumbiara (RO)";"268353"
"MU";"1100080";"Costa Marques (RO)";"261944"
"MU";"1100098";"Espigão D'Oeste (RO)";"666321"
"MU";"1100106";"Guajará-Mirim (RO)";"984614"
"MU";"1100114";"Jaru (RO)";"1665151"
"MU";"1100122";"Ji-Paraná (RO)";"4057176"
"MU";"1100130";"Machadinho D'Oeste (RO)";"700188"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"403373"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"885132"
"MU";"1100189";"Pimenta Bueno (RO)";"1361160"
"MU";"1100205";"Porto Velho (RO)";"19446740"
"MU";"1100254";"Presidente Médici (RO)";"464090"
"MU";"1100262";"Rio Crespo (RO)";"133557"
"MU";"1100288";"Rolim de Moura (RO)";"1403499"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"156765"
"MU";"1100304";"Vilhena (RO)";"3152560"
"MU";"1100320";"São Miguel do Guaporé (RO)";"730643"
"MU";"1100338";"Nova Mamoré (RO)";"601843"
"MU";"1100346";"Alvorada D'Oeste (RO)";"289497"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"324519"
"MU";"1100403";"Alto Paraíso (RO)";"396387"
"MU";"1100452";"Buritis (RO)";"781528"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"185088"
"MU";"1100601";"Cacaulândia (RO)";"169146"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"331894"
"MU";"1100809";"Candeias do Jamari (RO)";"562989"
"MU";"1100908";"Castanheiras (RO)";"80395"
"MU";"1100924";"Chupinguaia (RO)";"374750"
"MU";"1100940";"Cujubim (RO)";"431816"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"200565"
"MU";"1101104";"Itapuã do Oeste (RO)";"192750"
"MU";"1101203";"Ministro Andreazza (RO)";"224912"
"MU";"1101302";"Mirante da Serra (RO)";"231662"
"MU";"1101401";"Monte Negro (RO)";"340931"
"MU";"1101435";"Nova União (RO)";"128791"
"MU";"1101450";"Parecis (RO)";"120815"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"148823"
"MU";"1101476";"Primavera de Rondônia (RO)";"66465"
"MU";"1101484";"São Felipe D'Oeste (RO)";"102279"
"MU";"1101492";"São Francisco do Guaporé (RO)";"397745"
"MU";"1101500";"Seringueiras (RO)";"250586"
"MU";"1101559";"Teixeirópolis (RO)";"97349"
"MU";"1101609";"Theobroma (RO)";"213106"
"MU";"1101708";"Urupá (RO)";"227775"
"MU";"1101757";"Vale do Anari (RO)";"180702"
"MU";"1101807";"Vale do Paraíso (RO)";"161248"
"MU";"1200013";"Acrelândia (AC)";"291582"
"MU";"1200054";"Assis Brasil (AC)";"96315"
"MU";"1200104";"Brasiléia (AC)";"488072"
