feature,importance,rf_norm
RISCO_PEDAGOGICO_TDI_ATU,0.2623676892795219,1.0
NO_UF_PA,0.049442092120526235,0.18844581151092693
VL_OBSERVADO_2021,0.04208861767054816,0.16041844857545584
RISCO_INFRA_TDI_NET,0.03416528667869058,0.1302191088106565
RACA_PERC_PRETA_PARDA,0.029383665148719262,0.11199422165667063
PC_NIVEL_4,0.02785229490835416,0.10615748831282656
PC_NIVEL_3,0.02534857715313456,0.09661470595995772
RISCO_SOCIAL_TDI_PIB,0.025090847020970673,0.09563238175352959
PC_NIVEL_1,0.024878397499424415,0.09482264210102262
PC_NIVEL_5,0.02332252855122432,0.0888925332813253
ADH_EXPECTATIVA_ANOS_ESTUDO,0.023095047884470234,0.08802550324657232
ADH_PERC_POPULACAO_RURAL,0.022711619262336034,0.08656408616740713
ADH_TX_ATRASO_2_FUNDAMENTAL,0.02243613645254561,0.08551409860778454
PC_NIVEL_7,0.02210126314097889,0.08423774742107286
PC_NIVEL_6,0.02127172682471218,0.08107601543134245
ADH_IDHM_L,0.01965030535465745,0.07489605678434877
MED_CAT_0_dsu,0.019009231263283487,0.07245263818682866
PC_NIVEL_2,0.018099734693560184,0.06898614209418541
RISCO_GOVERNANCA_IDH,0.017912259353101798,0.06827159015765234
ADH_TX_ANALFABETISMO_25_MAIS,0.01724851847869486,0.06574177836478405
NO_REGIAO_Centro-Oeste,0.016650832397383474,0.06346373077838853
RACA_PERC_INDIGENA,0.015324451623644408,0.05840830349852267
MEDIA_INSE,0.0150966305346931,0.05753997596331085
ADH_PROP_POBREZA_EXTREMA,0.015010279936435557,0.05721085541308354
CENSO_PERC_HOMENS,0.014792774792082661,0.05638184653264488
ADH_IDHM_E,0.013639753856086321,0.05198717072800366
VL_NOTA_MATEMATICA_2021,0.013291375485104952,0.050659345751010346
ADH_INDICE_GINI,0.013246791728083664,0.05048941721619831
CENSO_PERC_MULHERES,0.013223479717740237,0.050400564772486806
ADH_PROP_VULNER_POBREZA,0.011550838948417845,0.044025386586805604
VL_NOTA_MEDIA_2021,0.011534327967632249,0.0439624558927444
NO_UF_PI,0.01130396186054352,0.04308442816104721
ADH_IDHM,0.010215502810711447,0.03893582643031944
VL_NOTA_PORTUGUES_2021,0.009943336271211987,0.037898478652295224
NO_UF_SC,0.009456985377026878,0.03604477900078455
ADH_RENDA_PER_CAPITA,0.008863799934504502,0.033783885351298594
VL_PROJECAO_2021,0.007736620401045303,0.029487702629430273
ADH_IDHM_R,0.007250966558924147,0.027636659753477094
NO_UF_MT,0.004996744851064485,0.01904481784622893
NO_UF_RN,0.004586830441234744,0.01748245164574368
NO_UF_ES,0.003944072860834058,0.015032616522502177
NO_UF_PB,0.0024069464960112274,0.00917394402725752
NO_REGIAO_Sudeste,0.002209431733401902,0.008421127386032708
NO_UF_BA,0.0018883924111848629,0.007197503687936981
NO_UF_RO,0.0014574493394458943,0.005554987900561008
NO_UF_RS,0.001455182636795411,0.005546348488228233
NO_REGIAO_Sul,0.0014412687019191286,0.00549331629163996
NO_UF_GO,0.001319155994217959,0.005027890430564998
NO_REGIAO_Norte,0.0010752615793000015,0.004098300298534233
NO_REGIAO_Nordeste,0.0010668270028908466,0.0040661523750139365
NO_UF_SE,0.0010333483904581499,0.003938550487279089
NO_UF_MG,0.0009823495021032559,0.0037441710326483
NO_UF_TO,0.0009803230823360299,0.003736447445293505
NO_UF_PR,0.0009279538820911981,0.003536845122352594
NO_UF_MA,0.000635133903369822,0.002420777898048115
NO_UF_SP,0.0004415338345919619,0.0016828818967931662
NO_UF_AC,0.00029496714393949095,0.0011242510262962988
NO_UF_CE,0.00027644387796239384,0.0010536506180373276
NO_UF_AM,0.00024340008797289422,0.0009277060321005459
NO_UF_MS,0.00020408920224048956,0.000777874755847152
NO_UF_RJ,0.0001441828905325245,0.0005495451476073892
NO_UF_PE,0.00013787810814597972,0.0005255148167238185
NO_UF_AL,0.00012955881660472605,0.0004938062951291856
NO_UF_AP,8.59665927212502e-05,0.0003276569342715936
NO_UF_RR,2.666013309557543e-05,0.00010161362921168313
NO_UF_DF,9.756280652114467e-08,3.7185526460616486e-07
NO_REGIAO_nan,0.0,0.0
NO_UF_nan,0.0,0.0
